DateTime,EndDateTime,DeviceId,Aggregation,AppName,AppPublisher
6/25/2021 12:00:00 AM +00:00,6/25/2021 11:59:59 PM +00:00,,Daily,Google Drive Sync,Unknown
6/25/2021 12:00:00 AM +00:00,6/25/2021 11:59:59 PM +00:00,,Daily,Windows Components,Microsoft Corporation
6/25/2021 12:00:00 AM +00:00,6/25/2021 11:59:59 PM +00:00,,Daily,MICROSOFT.WINDOWS.SEARCH,Unknown
6/25/2021 12:00:00 AM +00:00,6/25/2021 11:59:59 PM +00:00,,Daily,Chrome,google llc
6/25/2021 12:00:00 AM +00:00,6/25/2021 11:59:59 PM +00:00,,Daily,MICROSOFT.WINDOWS.STARTMENUEXPERIENCEHOST,Unknown
6/25/2021 12:00:00 AM +00:00,6/25/2021 11:59:59 PM +00:00,,Daily,OPENWITH.EXE,Microsoft Corporation
6/24/2021 12:00:00 AM +00:00,6/24/2021 11:59:59 PM +00:00,,Daily,Microsoft Cortana and Windows Search,Microsoft Corporation
6/24/2021 12:00:00 AM +00:00,6/24/2021 11:59:59 PM +00:00,,Daily,Microsoft Word,Microsoft Corporation
6/24/2021 12:00:00 AM +00:00,6/24/2021 11:59:59 PM +00:00,,Daily,nvidia container,Nvidia Corporation
6/24/2021 12:00:00 AM +00:00,6/24/2021 11:59:59 PM +00:00,,Daily,Microsoft Excel,Microsoft Corporation
6/24/2021 12:00:00 AM +00:00,6/24/2021 11:59:59 PM +00:00,,Daily,Chrome,google llc
6/24/2021 12:00:00 AM +00:00,6/24/2021 11:59:59 PM +00:00,,Daily,Google Drive Sync,Unknown
6/24/2021 12:00:00 AM +00:00,6/24/2021 11:59:59 PM +00:00,,Daily,Visual Studio,Microsoft Corporation
6/24/2021 12:00:00 AM +00:00,6/24/2021 11:59:59 PM +00:00,,Daily,Realtek Audio Control,Unknown
